celltype,genes,res,gene_symbol
AST,990,0.8612582814318985,NBPF26
AST,1003,0.9093816197432105,RNF115
AST,1004,0.7195288348055043,POLR3C
AST,1014,0.7209834663806388,TXNIP
AST,1015,0.7765269467510446,NBPF10
AST,1016,0.7726227322746313,NBPF12
AST,1020,0.8858200885838008,BCL9
AST,1021,0.9072368228403624,ACP6
AST,1025,0.9416587282581086,LINC01138
AST,1027,0.8413056399779322,NBPF14
AST,1028,0.9229073080345616,PDE4DIP
AST,1041,0.9115162160467862,OTUD7B
AST,1042,0.8947908525418562,VPS45
AST,1043,0.7614512233237305,PLEKHO1
AST,1047,0.7578097562716299,C1orf54
AST,1049,0.7444179253633247,MRPS21
AST,1050,0.8503422294329595,PRPF3
AST,1051,0.915830680260193,RPRD2
AST,1056,0.8352460792263761,ADAMTSL4-AS1
AST,1057,0.7611279260504524,MCL1
AST,1058,0.9460156754878133,ENSA
AST,1059,0.71203713976449,GOLPH3L
AST,1063,0.8076994019056858,ARNT
AST,1064,0.7574442283079648,SETDB1
AST,1070,0.7603609879990725,CDC42SE1
AST,1072,0.8761276324653954,GABPB2
AST,1077,0.8918408805040976,PIP5K1A
AST,1080,0.8217183486769992,PI4KB
AST,1084,0.9261917635441611,POGZ
AST,1087,0.8289629613188433,SNX27
AST,1097,0.7007461843289702,THEM4
AST,1102,0.8179075790597947,FLG-AS1
AST,1116,0.7131902603117508,S100A13
AST,1118,0.8099592803271367,CHTOP
AST,1122,0.855816050167958,INTS3
AST,1124,0.8837726434482251,GATAD2B
AST,1135,0.8292539710300483,C1orf43
AST,1136,0.8191165528320766,UBAP2L
AST,1139,0.8405362431446417,ATP8B2
AST,1140,0.788560352721107,IL6R
AST,1145,0.8382473758078884,ADAR
AST,1146,0.9586176309851956,KCNN3
AST,1148,0.9231489615963678,PBXIP1
AST,1164,0.7310655855988826,MUC1
AST,1165,0.7004215679374874,THBS3
AST,1176,0.9416641343249342,ASH1L
AST,1179,0.8205470778065166,YY1AP1
AST,1180,0.8604924541262331,DAP3
AST,1181,0.8933409955535634,GON4L
AST,1182,0.8778062762271797,SYT11
AST,1190,0.7916628994749485,LMNA
AST,1191,0.7848392517573736,SEMA4A
AST,1194,0.770054456239831,SMG5
AST,1198,0.7253968942390708,CCT3
AST,1201,0.9469563035654656,C1orf61
AST,1202,0.7638087715873857,MEF2D
AST,1208,0.7391492763774816,BCAN
AST,1215,0.7222262253876599,PRCC
AST,1221,0.900809242303018,ARHGEF11
AST,1247,0.90051742803699,KCNJ10
AST,1250,0.9427874969635812,ATP1A2
AST,1254,0.8485983540176842,DCAF8
AST,1255,0.7779059079235365,COPA
AST,1258,0.7077424835957942,VANGL2
AST,1280,0.7213615648874744,NDUFS2
AST,1286,0.8218502376194197,SDHC
AST,1294,0.8738373634110742,ATF6
AST,1301,0.931446928630255,DDR2
AST,1302,0.7370529419490072,HSD17B7
AST,1303,0.7198274036341934,CCDC190
AST,1307,0.9378996558243602,PBX1
AST,1309,0.7896180307320178,RXRG
AST,1311,0.8650548547828363,MGST3
AST,1313,0.7504162205995593,TMCO1
AST,1316,0.7048598134750692,POGK
AST,1318,0.7675825401014799,ILDR2
AST,1323,0.9514595125225093,POU2F1
AST,1327,0.8264090677053912,MPZL1
AST,1330,0.8717879051816853,DCAF6
AST,1331,0.7278014739063453,GPR161
AST,1339,0.8723154902293709,NME7
AST,1340,0.7928876392285888,BLZF1
AST,1349,0.7718461263045382,SCYL3
AST,1350,0.8569862158596525,KIFAP3
AST,1354,0.7576534134537598,PRRX1
AST,1360,0.8936746826904984,PRRC2C
AST,1363,0.9197037870334566,DNM3
AST,1365,0.7646388474707442,PIGC
AST,1367,0.8468505151232982,SUCO
AST,1370,0.8304161887205156,PRDX6
AST,1371,0.7088406655049424,SLC9C2
AST,1372,0.8121321150152617,KLHL20
AST,1377,0.8355658216448886,ZBTB37
AST,1379,0.862625166027865,RC3H1
AST,1380,0.9129622316713254,RABGAP1L
AST,1385,0.7032192734020467,TNR
AST,1386,0.7427312696639474,PAPPA2
AST,1387,0.9500162328839835,ASTN1
AST,1388,0.9000258239321182,BRINP2
AST,1391,0.8469938716549119,RASAL2
AST,1396,0.7262058714923484,FAM20B
AST,1398,0.8521543863001444,ABL2
AST,1404,0.7778072986837247,TOR1AIP2
AST,1405,0.836943504965135,TOR1AIP1
AST,1406,0.9036691137772385,CEP350
AST,1409,0.8982070234032354,ACBD6
AST,1411,0.879210947228499,XPR1
AST,1412,0.7896634710399264,KIAA1614
AST,1413,0.7648964454518306,STX6
AST,1419,0.9295069942659318,GLUL
